body,vol_ma,mult,总收益率%,交易次数,胜率%,盈亏比,夏普,最大回撤%
0.1,10,2.0,3.0914612286528698,9,33.33333333333333,3.8218016368606946,43193.445389519446,3.2979806313742666
0.15,10,2.0,3.0914612286528698,9,33.33333333333333,3.8218016368606946,43193.445389519446,3.2979806313742666
0.25,10,2.0,3.0914612286528698,9,33.33333333333333,3.8218016368606946,43193.445389519446,3.2979806313742666
0.2,10,2.0,3.0914612286528698,9,33.33333333333333,3.8218016368606946,43193.445389519446,3.2979806313742666
0.15,20,1.2,2.830639148403269,16,50.0,1.9178311652352027,19679.149708948866,2.3629363070894396
0.2,20,1.2,2.830639148403269,16,50.0,1.9178311652352027,19679.149708948866,2.3629363070894396
0.1,20,1.2,2.830639148403269,16,50.0,1.9178311652352027,19679.149708948866,2.3629363070894396
0.25,20,1.2,2.830639148403269,16,50.0,1.9178311652352027,19679.149708948866,2.3629363070894396
0.15,15,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.15,20,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.2,15,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.1,15,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.1,15,1.8,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.1,20,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.25,15,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.2,20,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.15,15,1.8,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.2,15,1.8,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.25,20,2.0,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.25,15,1.8,2.6752501097867754,11,36.36363636363637,3.306838970666448,11536.715755098849,2.0894971458067633
0.1,10,1.8,1.947650623666819,11,27.27272727272727,4.335565851256411,931.1956652414201,2.5696847479021745
0.15,10,1.8,1.947650623666819,11,27.27272727272727,4.335565851256411,931.1956652414201,2.5696847479021745
0.25,10,1.8,1.947650623666819,11,27.27272727272727,4.335565851256411,931.1956652414201,2.5696847479021745
0.2,10,1.8,1.947650623666819,11,27.27272727272727,4.335565851256411,931.1956652414201,2.5696847479021745
0.25,10,1.2,1.585260830996038,17,41.17647058823529,2.0142538558966745,245.46926013030225,5.041508160195917
0.2,10,1.2,1.585260830996038,17,41.17647058823529,2.0142538558966745,245.46926013030225,5.041508160195917
0.1,10,1.2,1.585260830996038,17,41.17647058823529,2.0142538558966745,245.46926013030225,5.041508160195917
0.15,10,1.2,1.585260830996038,17,41.17647058823529,2.0142538558966745,245.46926013030225,5.041508160195917
0.15,20,1.8,1.4456576205727822,12,33.33333333333333,2.888570054932604,160.8479732928454,3.26202917076851
0.1,20,1.8,1.4456576205727822,12,33.33333333333333,2.888570054932604,160.8479732928454,3.26202917076851
0.2,20,1.8,1.4456576205727822,12,33.33333333333333,2.888570054932604,160.8479732928454,3.26202917076851
0.25,20,1.8,1.4456576205727822,12,33.33333333333333,2.888570054932604,160.8479732928454,3.26202917076851
0.1,10,1.5,1.4295346645298634,14,21.428571428571427,5.347964763381612,142.72330729053394,3.8783105056862404
0.2,10,1.5,1.4295346645298634,14,21.428571428571427,5.347964763381612,142.72330729053394,3.8783105056862404
0.25,10,1.5,1.4295346645298634,14,21.428571428571427,5.347964763381612,142.72330729053394,3.8783105056862404
0.15,10,1.5,1.4295346645298634,14,21.428571428571427,5.347964763381612,142.72330729053394,3.8783105056862404
0.2,20,1.5,0.5783507173029445,14,21.428571428571427,4.628635056128903,6.847139686815322,3.8783105056862404
0.25,20,1.5,0.5783507173029445,14,21.428571428571427,4.628635056128903,6.847139686815322,3.8783105056862404
0.1,20,1.5,0.5783507173029445,14,21.428571428571427,4.628635056128903,6.847139686815322,3.8783105056862404
0.15,20,1.5,0.5783507173029445,14,21.428571428571427,4.628635056128903,6.847139686815322,3.8783105056862404
0.25,15,1.2,0.5374094129439122,17,41.17647058823529,1.7524335545121508,5.437618664652054,5.5167828645292145
0.1,15,1.2,0.5374094129439122,17,41.17647058823529,1.7524335545121508,5.437618664652054,5.5167828645292145
0.15,15,1.2,0.5374094129439122,17,41.17647058823529,1.7524335545121508,5.437618664652054,5.5167828645292145
0.2,15,1.2,0.5374094129439122,17,41.17647058823529,1.7524335545121508,5.437618664652054,5.5167828645292145
0.1,15,1.5,-0.2747792073653721,15,33.33333333333333,2.194392297531482,-0.6440735490438477,4.738458038216504
0.15,15,1.5,-0.2747792073653721,15,33.33333333333333,2.194392297531482,-0.6440735490438477,4.738458038216504
0.2,15,1.5,-0.2747792073653721,15,33.33333333333333,2.194392297531482,-0.6440735490438477,4.738458038216504
0.25,15,1.5,-0.2747792073653721,15,33.33333333333333,2.194392297531482,-0.6440735490438477,4.738458038216504
